UniqueCount	AmbigCount
0	0
0	0
43	1685
0	4
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	18
0	0
0	0
0	2
0	1
0	8
18	48
0	185
0	64
0	12
0	0
86	236
0	12
0	98
0	0
0	0
0	0
1	141
0	149
20	38
0	0
0	96
0	36
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	27
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	0
0	0
0	0
0	0
164	23000
10738	62233
1500	180991
157	16658
0	0
15495	34993
62	4011
0	0
0	31
167	858
0	4
0	236
0	0
0	0
0	44
0	0
0	30
0	0
0	0
0	72
67	72
0	22
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	57
0	0
0	0
0	0
8	2
0	1
0	0
0	1
0	0
0	3
173	43
0	15
0	15
0	15
0	6
0	1
0	63
0	35
0	6
0	10
0	3
5	5
0	6
31	3
0	8
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	723
0	750
0	750
0	750
0	750
0	750
0	750
0	750
0	750
0	723
0	0
0	0
0	0
0	0
0	0
0	0
53	3242
1427	10179
33	9311
0	0
0	2484
0	35
70	138
0	145
50	67
7	35
0	0
0	13
2	14
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	10
7	10
0	4
0	2
0	583
0	423
315	583
0	0
0	0
106	1891
0	1891
0	0
0	32
0	106
0	60
0	1
0	41
0	70
30	516
0	17
3	80
0	1
0	80
18	0
12	55
7	63
40	0
0	0
0	79
0	84
0	89
0	99
22	62
0	78
0	78
0	6
0	56
0	41
0	30
0	31
0	14
0	4
0	7
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	33
7	78
2	47
0	52
37	35
0	35
0	9
22	1641
0	1236
0	1456
12	795
2	616
0	344
3	297
162	0
0	0
0	0
0	0
0	0
0	0
0	0
9	886
0	892
11	978
38	607
1	566
20	589
0	486
0	116
0	435
0	379
0	67
0	129
0	126
0	58
0	65
0	0
0	20
0	30
0	44
2	0
0	0
0	0
0	28
0	22
0	27
0	29
0	1
0	24
0	0
0	5
7	425
0	400
3	244
0	265
0	2
0	25
0	56
0	1
5	95
0	55
0	10
0	27
0	1
31	199
0	53
0	5
0	104
0	98
0	1060
0	1898
0	1898
0	1387
0	937
2	1974
0	339
0	1577
0	1386
112	1162
8	594
8	1214
0	1882
0	1385
0	1218
0	1465
0	1709
0	449
0	221
2	136
0	1279
0	245
0	397
0	425
2	262
0	284
2	488
0	23
0	142
5	659
0	303
3	367
0	526
0	476
