UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
173	0
22	1
56	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
16031	0
0	73
0	647
1	62
5	647
0	0
0	0
0	0
0	79
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	79
0	0
0	0
0	0
31	0
0	0
0	0
0	0
0	0
0	146
0	46
0	0
1	247
638	1176
0	863
0	572
0	10
0	274
8379	0
32231	225318
12	220
0	18604
585	807
2420	806
1042	3
30	245
0	46
6248	225318
60	149
0	144
0	0
0	0
14	171
14	394
0	274
10861	0
0	0
0	0
88	0
58	0
0	0
0	0
0	0
14	0
36	140
3	1
1	0
130	0
926	11
0	0
137	20
231	26
0	67
4	26
0	8
0	17
0	0
0	132
0	0
0	0
0	0
411	0
0	268
0	0
0	0
0	0
30	2
44	0
61	0
0	13
0	0
0	30
6	0
0	100
0	70
0	23
0	41711
0	0
0	0
0	0
0	0
9	0
0	4873
0	3
0	0
0	0
0	0
0	0
0	35
0	62
0	0
0	0
0	0
0	40
0	0
0	0
0	0
84	0
0	240
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
334	210
0	0
0	258
0	0
0	0
597	0
0	0
0	0
0	100
0	0
0	41711
0	0
0	0
0	13
40	203
0	0
0	0
0	4873
11	30
0	0
0	0
0	0
0	0
0	152
0	0
0	0
49	0
0	0
